date,year,month,quarter,state_name,state_abbr,cpi_value,source,data_type
2024-08-01,2024,8,Q3,Alabama,AL,315.0671264488395,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,Alabama,AL,316.25446137656303,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,Alabama,AL,316.16906551777527,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,Alabama,AL,314.5582569381058,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,Alabama,AL,316.6102952721422,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,Alabama,AL,316.8869160216423,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,Alabama,AL,318.91904472007803,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,Alabama,AL,320.0116606482109,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,Alabama,AL,321.0210399164747,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,Alabama,AL,321.08578919819985,National_Estimate_BLS_API,Estimated
2025-06-01,2025,6,Q2,Alabama,AL,322.5058575092469,National_Estimate_BLS_API,Estimated
2025-07-01,2025,7,Q3,Alabama,AL,323.70375316986286,National_Estimate_BLS_API,Estimated
2023-01-01,2023,1,Q1,Alaska,AK,298.92573105356183,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,Alaska,AK,300.98760342561434,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,Alaska,AK,301.8823295536162,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,Alaska,AK,303.7082514888985,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,Alaska,AK,304.2191609060935,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,Alaska,AK,305.39694895196124,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,Alaska,AK,306.371069053362,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,Alaska,AK,307.8272453942575,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,Alaska,AK,306.73488023154954,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,Alaska,AK,306.54035591367926,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,Alaska,AK,305.73269447685414,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,Alaska,AK,306.8159751756968,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,Alaska,AK,307.9948993525957,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,Alaska,AK,309.0642811110345,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,Alaska,AK,312.3481096883533,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,Alaska,AK,313.3569386094811,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,Alaska,AK,313.28581720025466,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,Alaska,AK,313.5538363677057,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,Alaska,AK,314.0288755767,National_Estimate_BLS_API,Estimated
2024-08-01,2024,8,Q3,Alaska,AK,314.62662598317644,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,Alaska,AK,315.0989585564947,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,Alaska,AK,316.0507481796412,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,Alaska,AK,315.1071767388554,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,Alaska,AK,315.307292188936,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,Alaska,AK,317.35292687677276,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,Alaska,AK,319.21965037142314,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,Alaska,AK,319.53696358063604,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,Alaska,AK,320.9624248891379,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,Alaska,AK,321.251272227999,National_Estimate_BLS_API,Estimated
2025-06-01,2025,6,Q2,Alaska,AK,322.61532399077515,National_Estimate_BLS_API,Estimated
2025-07-01,2025,7,Q3,Alaska,AK,322.7080582854036,National_Estimate_BLS_API,Estimated
2023-01-01,2023,1,Q1,Arizona,AZ,298.9857773267099,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,Arizona,AZ,300.93339265639827,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,Arizona,AZ,302.9322589159334,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,Arizona,AZ,303.58774108056696,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,Arizona,AZ,304.2901894454313,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,Arizona,AZ,304.93260844781076,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,Arizona,AZ,305.67153076984255,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,Arizona,AZ,307.1202620062418,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,Arizona,AZ,307.7564232518504,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,Arizona,AZ,307.8942167584449,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,Arizona,AZ,306.97082412271294,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,Arizona,AZ,306.77683057632015,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,Arizona,AZ,308.2470125796755,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,Arizona,AZ,310.62814807256234,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,Arizona,AZ,312.7918974238221,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,Arizona,AZ,313.3594462390186,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,Arizona,AZ,314.3666830923051,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,Arizona,AZ,314.68658708515187,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,Arizona,AZ,315.3097864604354,National_Estimate_BLS_API,Estimated
2024-08-01,2024,8,Q3,Arizona,AZ,315.29797278707025,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,Arizona,AZ,315.9086729281837,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,Arizona,AZ,315.12118269369523,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,Arizona,AZ,315.6815291484859,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,Arizona,AZ,315.57701845385634,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,Arizona,AZ,317.1417379608742,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,Arizona,AZ,319.5172923360593,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,Arizona,AZ,319.77954157609383,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,Arizona,AZ,321.25363443489033,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,Arizona,AZ,321.9070509517154,National_Estimate_BLS_API,Estimated
2025-06-01,2025,6,Q2,Arizona,AZ,323.116491912525,National_Estimate_BLS_API,Estimated
2025-07-01,2025,7,Q3,Arizona,AZ,323.2348008491891,National_Estimate_BLS_API,Estimated
2023-01-01,2023,1,Q1,Arkansas,AR,299.1251896492307,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,Arkansas,AR,300.6848829048547,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,Arkansas,AR,302.6458209919953,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,Arkansas,AR,303.99554482055726,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,Arkansas,AR,304.4423948399055,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,Arkansas,AR,305.1059246415742,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,Arkansas,AR,306.49832050818964,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,Arkansas,AR,307.6934950713547,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,Arkansas,AR,308.18565962947935,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,Arkansas,AR,307.95051066545466,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,Arkansas,AR,306.6800490227909,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,Arkansas,AR,305.3001134742667,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,Arkansas,AR,308.3671456119996,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,Arkansas,AR,311.02773594199874,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,Arkansas,AR,311.4013340895209,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,Arkansas,AR,313.9755125338073,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,Arkansas,AR,314.7231994501154,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,Arkansas,AR,314.9131503862768,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,Arkansas,AR,314.3191685648314,National_Estimate_BLS_API,Estimated
2024-08-01,2024,8,Q3,Arkansas,AR,314.7618030482933,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,Arkansas,AR,315.5553316527334,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,Arkansas,AR,316.36144083298757,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,Arkansas,AR,315.06104322819573,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,Arkansas,AR,315.76118304958294,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,Arkansas,AR,318.05410671312274,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,Arkansas,AR,318.0340463059284,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,Arkansas,AR,319.8111543612396,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,Arkansas,AR,320.3703754578308,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,Arkansas,AR,321.42523902252833,National_Estimate_BLS_API,Estimated
2025-06-01,2025,6,Q2,Arkansas,AR,322.512026151925,National_Estimate_BLS_API,Estimated
2025-07-01,2025,7,Q3,Arkansas,AR,322.3507449327034,National_Estimate_BLS_API,Estimated
2023-01-01,2023,1,Q1,California,CA,299.75339698451495,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,California,CA,301.4554325513778,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,California,CA,302.9540759366623,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,California,CA,303.24297014477935,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,California,CA,303.4236418203105,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,California,CA,304.3756571392706,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,California,CA,305.30889713186554,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,California,CA,306.62861260584657,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,California,CA,307.5855154557747,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,California,CA,307.96126643307224,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,California,CA,306.8179972844739,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,California,CA,307.38324193326406,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,California,CA,308.840830759353,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,California,CA,310.36220633191203,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,California,CA,312.48554016974583,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,California,CA,314.0809859461341,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,California,CA,314.3998859189457,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,California,CA,313.6677746347852,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,California,CA,314.630464443578,National_Estimate_BLS_API,Estimated
2024-08-01,2024,8,Q3,California,CA,315.19427609603906,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,California,CA,315.7583396500649,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,California,CA,316.0179640031253,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,California,CA,314.6805221995051,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,California,CA,314.7224714926425,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,California,CA,318.01922729218006,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,California,CA,319.248837696202,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,California,CA,320.7394332412516,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,California,CA,320.7309515991792,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,California,CA,321.34712077359757,National_Estimate_BLS_API,Estimated
2025-06-01,2025,6,Q2,California,CA,322.115364413308,National_Estimate_BLS_API,Estimated
2025-07-01,2025,7,Q3,California,CA,322.84253376849443,National_Estimate_BLS_API,Estimated
2023-01-01,2023,1,Q1,Colorado,CO,299.3518255998449,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,Colorado,CO,301.0452889217025,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,Colorado,CO,301.6316233801157,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,Colorado,CO,303.58365516551265,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,Colorado,CO,304.14388814731336,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,Colorado,CO,304.7752797346976,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,Colorado,CO,304.81820691115627,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,Colorado,CO,306.88316599139256,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,Colorado,CO,307.7909043994132,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,Colorado,CO,307.2852045580497,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,Colorado,CO,307.83584830566537,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,Colorado,CO,306.5564514361901,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,Colorado,CO,308.0790596194731,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,Colorado,CO,309.34487571103716,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,Colorado,CO,312.9251046181534,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,Colorado,CO,314.0638389753583,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,Colorado,CO,313.6008335510305,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,Colorado,CO,314.6770279389073,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,Colorado,CO,314.54270555942765,National_Estimate_BLS_API,Estimated
2024-08-01,2024,8,Q3,Colorado,CO,315.03166310335337,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,Colorado,CO,315.9104779529356,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,Colorado,CO,315.1985401320083,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,Colorado,CO,315.9758731438054,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,Colorado,CO,315.73417432354137,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,Colorado,CO,318.2960676122889,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,Colorado,CO,318.4721899457327,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,Colorado,CO,320.1970455815898,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,Colorado,CO,321.1972194260056,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,Colorado,CO,321.74800785982364,National_Estimate_BLS_API,Estimated
2025-06-01,2025,6,Q2,Colorado,CO,323.11847505313244,National_Estimate_BLS_API,Estimated
2025-07-01,2025,7,Q3,Colorado,CO,322.41900632867606,National_Estimate_BLS_API,Estimated
2023-01-01,2023,1,Q1,Connecticut,CT,297.8259141032993,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,Connecticut,CT,301.0339646009306,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,Connecticut,CT,301.13433464178223,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,Connecticut,CT,301.8134880642661,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,Connecticut,CT,305.10263276567923,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,Connecticut,CT,305.9363186266833,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,Connecticut,CT,305.34808126891824,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,Connecticut,CT,307.369101731365,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,Connecticut,CT,307.9199536486607,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,Connecticut,CT,308.4667102880576,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,Connecticut,CT,306.67823338158564,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,Connecticut,CT,306.5384366289267,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,Connecticut,CT,308.18546803624577,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,Connecticut,CT,311.46518588758926,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,Connecticut,CT,312.83375265680075,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,Connecticut,CT,313.74243835458884,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,Connecticut,CT,313.96889415823307,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,Connecticut,CT,313.8704415312212,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,Connecticut,CT,314.5336143798352,National_Estimate_BLS_API,Estimated
2024-08-01,2024,8,Q3,Connecticut,CT,315.1250776261641,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,Connecticut,CT,315.10031628684425,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,Connecticut,CT,316.09377717647214,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,Connecticut,CT,315.60952861106614,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,Connecticut,CT,315.7121698924186,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,Connecticut,CT,319.51572416461977,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,Connecticut,CT,318.7027703756585,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,Connecticut,CT,319.42730746868585,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,Connecticut,CT,321.77465536971795,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,Connecticut,CT,321.94279796533306,National_Estimate_BLS_API,Estimated
2025-06-01,2025,6,Q2,Connecticut,CT,321.9355786732125,National_Estimate_BLS_API,Estimated
2025-07-01,2025,7,Q3,Connecticut,CT,322.79243137825677,National_Estimate_BLS_API,Estimated
2023-01-01,2023,1,Q1,Delaware,DE,299.3020004281341,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,Delaware,DE,301.082225842274,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,Delaware,DE,302.07302134119,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,Delaware,DE,304.1365115419674,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,Delaware,DE,304.1067241423937,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,Delaware,DE,305.18228736262495,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,Delaware,DE,305.7198981828171,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,Delaware,DE,307.66276617632803,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,Delaware,DE,308.1979784221969,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,Delaware,DE,307.61230545478946,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,Delaware,DE,306.2076026686981,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,Delaware,DE,306.30617783709494,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,Delaware,DE,308.4055820382781,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,Delaware,DE,310.14633907514684,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,Delaware,DE,312.1920253112922,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,Delaware,DE,313.69911749519196,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,Delaware,DE,314.05341355952413,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,Delaware,DE,313.5438969136205,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,Delaware,DE,314.93402562178784,National_Estimate_BLS_API,Estimated
2024-08-01,2024,8,Q3,Delaware,DE,315.7569430141107,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,Delaware,DE,316.3339835885579,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,Delaware,DE,314.98732615983937,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,Delaware,DE,314.3580274119451,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,Delaware,DE,315.0272955657403,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,Delaware,DE,318.3832823994969,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,Delaware,DE,318.9734459511247,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,Delaware,DE,320.3962954961692,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,Delaware,DE,321.2887568449699,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,Delaware,DE,321.6441418830029,National_Estimate_BLS_API,Estimated
2025-06-01,2025,6,Q2,Delaware,DE,321.8156110287,National_Estimate_BLS_API,Estimated
2025-07-01,2025,7,Q3,Delaware,DE,322.98126587216655,National_Estimate_BLS_API,Estimated
2023-01-01,2023,1,Q1,District of Columbia,DC,300.1926478204613,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,District of Columbia,DC,300.41984888753547,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,District of Columbia,DC,302.37310882469063,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,District of Columbia,DC,302.6930318021914,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,District of Columbia,DC,303.8053937897221,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,District of Columbia,DC,304.35454459423397,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,District of Columbia,DC,305.9649807951899,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,District of Columbia,DC,308.09025547512397,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,District of Columbia,DC,307.9665766996718,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,District of Columbia,DC,308.13823621040757,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,District of Columbia,DC,306.8315327957353,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,District of Columbia,DC,306.9344109246683,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,District of Columbia,DC,308.7810679246064,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,District of Columbia,DC,309.9046267520384,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,District of Columbia,DC,312.0705188923029,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,District of Columbia,DC,313.92564161607197,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,District of Columbia,DC,313.13936098653613,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,District of Columbia,DC,314.44177463754744,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,District of Columbia,DC,314.949966495596,National_Estimate_BLS_API,Estimated
2024-08-01,2024,8,Q3,District of Columbia,DC,314.03478624755905,National_Estimate_BLS_API,Estimated
2024-09-01,2024,9,Q3,District of Columbia,DC,315.4786525890266,National_Estimate_BLS_API,Estimated
2024-10-01,2024,10,Q4,District of Columbia,DC,316.3371159884081,National_Estimate_BLS_API,Estimated
2024-11-01,2024,11,Q4,District of Columbia,DC,314.8790809013809,National_Estimate_BLS_API,Estimated
2024-12-01,2024,12,Q4,District of Columbia,DC,315.8678979025478,National_Estimate_BLS_API,Estimated
2025-01-01,2025,1,Q1,District of Columbia,DC,316.595205225546,National_Estimate_BLS_API,Estimated
2025-02-01,2025,2,Q1,District of Columbia,DC,319.35267932846756,National_Estimate_BLS_API,Estimated
2025-03-01,2025,3,Q1,District of Columbia,DC,319.6460401257884,National_Estimate_BLS_API,Estimated
2025-04-01,2025,4,Q2,District of Columbia,DC,321.0421046971199,National_Estimate_BLS_API,Estimated
2025-05-01,2025,5,Q2,District of Columbia,DC,321.6320961816723,National_Estimate_BLS_API,Estimated
