state_name,state_abbr,year,effective_date,minimum_wage,source,raw_wage_text,table_number
Maryland,MD,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Maryland,MD,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
Maryland,MD,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
Maryland,MD,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
Massachusetts,MA,1972,1972-01-01,1.75,DOL_Historical_Table_1,1.75,1
Massachusetts,MA,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
Massachusetts,MA,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
Massachusetts,MA,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
Michigan,MI,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Michigan,MI,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
Michigan,MI,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
Michigan,MI,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
Minnesota,MN,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
Minnesota,MN,1980,1980-01-01,2.9,DOL_Historical_Table_1,2.90,1
Minnesota,MN,1981,1981-01-01,3.1,DOL_Historical_Table_1,3.10,1
Montana,MT,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Montana,MT,1979,1979-01-01,2.0,DOL_Historical_Table_1,2.00,1
Montana,MT,1980,1980-01-01,2.0,DOL_Historical_Table_1,2.00,1
Montana,MT,1981,1981-01-01,2.0,DOL_Historical_Table_1,2.00,1
Nebraska,NE,1972,1972-01-01,1.0,DOL_Historical_Table_1,1.00,1
Nebraska,NE,1979,1979-01-01,1.6,DOL_Historical_Table_1,1.60,1
Nebraska,NE,1980,1980-01-01,1.6,DOL_Historical_Table_1,1.60,1
Nebraska,NE,1981,1981-01-01,1.6,DOL_Historical_Table_1,1.60,1
Nevada,NV,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Nevada,NV,1979,1979-01-01,2.75,DOL_Historical_Table_1,2.75,1
Nevada,NV,1980,1980-01-01,2.75,DOL_Historical_Table_1,2.75,1
Nevada,NV,1981,1981-01-01,2.75,DOL_Historical_Table_1,2.75,1
New Hampshire,NH,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
New Hampshire,NH,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
New Hampshire,NH,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
New Hampshire,NH,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
New Jersey,NJ,1972,1972-01-01,1.5,DOL_Historical_Table_1,1.50,1
New Jersey,NJ,1979,1979-01-01,2.5,DOL_Historical_Table_1,2.50,1
New Jersey,NJ,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
New Jersey,NJ,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
New Mexico,NM,1972,1972-01-01,1.3,DOL_Historical_Table_1,1.30 - 1.60,1
New Mexico,NM,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
New Mexico,NM,1980,1980-01-01,2.65,DOL_Historical_Table_1,2.65,1
New Mexico,NM,1981,1981-01-01,2.9,DOL_Historical_Table_1,2.90,1
New York,NY,1972,1972-01-01,1.85,DOL_Historical_Table_1,1.85,1
New York,NY,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
New York,NY,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
New York,NY,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
North Carolina,NC,1972,1972-01-01,1.45,DOL_Historical_Table_1,1.45,1
North Carolina,NC,1979,1979-01-01,2.5,DOL_Historical_Table_1,2.50,1
North Carolina,NC,1980,1980-01-01,2.75,DOL_Historical_Table_1,2.75,1
North Carolina,NC,1981,1981-01-01,2.9,DOL_Historical_Table_1,2.90,1
North Dakota,ND,1972,1972-01-01,1.0,DOL_Historical_Table_1,1.00 - 1.45,1
North Dakota,ND,1979,1979-01-01,2.1,DOL_Historical_Table_1,2.10 - 2.30,1
North Dakota,ND,1980,1980-01-01,2.6,DOL_Historical_Table_1,2.60 - 3.10,1
North Dakota,ND,1981,1981-01-01,2.8,DOL_Historical_Table_1,2.80 - 3.10,1
Ohio,OH,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
Ohio,OH,1980,1980-01-01,2.3,DOL_Historical_Table_1,2.30,1
Ohio,OH,1981,1981-01-01,2.3,DOL_Historical_Table_1,2.30,1
Oklahoma,OK,1972,1972-01-01,1.4,DOL_Historical_Table_1,1.40,1
Oklahoma,OK,1979,1979-01-01,2.0,DOL_Historical_Table_1,2.00,1
Oklahoma,OK,1980,1980-01-01,2.0,DOL_Historical_Table_1,2.00,1
Oklahoma,OK,1981,1981-01-01,3.1,DOL_Historical_Table_1,3.10,1
Oregon,OR,1972,1972-01-01,1.25,DOL_Historical_Table_1,1.25`,1
Oregon,OR,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
Oregon,OR,1980,1980-01-01,2.9,DOL_Historical_Table_1,2.90,1
Oregon,OR,1981,1981-01-01,3.1,DOL_Historical_Table_1,3.10,1
Pennsylvania,PA,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Pennsylvania,PA,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
Pennsylvania,PA,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
Pennsylvania,PA,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
Rhode Island,RI,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Rhode Island,RI,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
Rhode Island,RI,1980,1980-01-01,2.65,DOL_Historical_Table_1,2.65,1
Rhode Island,RI,1981,1981-01-01,2.9,DOL_Historical_Table_1,2.90,1
South Dakota,SD,1972,1972-01-01,1.0,DOL_Historical_Table_1,1.00,1
South Dakota,SD,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
South Dakota,SD,1980,1980-01-01,2.3,DOL_Historical_Table_1,2.30,1
South Dakota,SD,1981,1981-01-01,2.3,DOL_Historical_Table_1,2.30,1
Texas,TX,1972,1972-01-01,1.4,DOL_Historical_Table_1,1.40,1
Texas,TX,1979,1979-01-01,1.4,DOL_Historical_Table_1,1.40,1
Texas,TX,1980,1980-01-01,1.4,DOL_Historical_Table_1,1.40,1
Texas,TX,1981,1981-01-01,1.4,DOL_Historical_Table_1,1.40,1
Utah,UT,1972,1972-01-01,1.2,DOL_Historical_Table_1,1.20 - 1.35(b),1
Utah,UT,1979,1979-01-01,2.2,DOL_Historical_Table_1,2.20 - 2.45(b),1
Utah,UT,1980,1980-01-01,2.35,DOL_Historical_Table_1,2.35 - 2.60(b),1
Utah,UT,1981,1981-01-01,2.5,DOL_Historical_Table_1,2.50 - 2.75(b),1
Vermont,VT,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Vermont,VT,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
Vermont,VT,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
Vermont,VT,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
Virginia,VA,1979,1979-01-01,2.35,DOL_Historical_Table_1,2.35,1
Virginia,VA,1980,1980-01-01,2.35,DOL_Historical_Table_1,2.35,1
Virginia,VA,1981,1981-01-01,2.65,DOL_Historical_Table_1,2.65,1
Washington,WA,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Washington,WA,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
Washington,WA,1980,1980-01-01,2.3,DOL_Historical_Table_1,2.30,1
Washington,WA,1981,1981-01-01,2.3,DOL_Historical_Table_1,2.30,1
West Virginia,WV,1972,1972-01-01,1.2,DOL_Historical_Table_1,1.20,1
West Virginia,WV,1979,1979-01-01,2.2,DOL_Historical_Table_1,2.20,1
West Virginia,WV,1980,1980-01-01,2.2,DOL_Historical_Table_1,2.20,1
West Virginia,WV,1981,1981-01-01,2.75,DOL_Historical_Table_1,2.75,1
Wisconsin,WI,1972,1972-01-01,1.45,DOL_Historical_Table_1,1.45 (b),1
Wisconsin,WI,1979,1979-01-01,2.8,DOL_Historical_Table_1,2.80,1
Wisconsin,WI,1980,1980-01-01,3.0,DOL_Historical_Table_1,3.00,1
Wisconsin,WI,1981,1981-01-01,3.25,DOL_Historical_Table_1,3.25,1
Wyoming,WY,1972,1972-01-01,1.5,DOL_Historical_Table_1,1.50,1
Wyoming,WY,1979,1979-01-01,1.6,DOL_Historical_Table_1,1.60,1
Wyoming,WY,1980,1980-01-01,1.6,DOL_Historical_Table_1,1.60,1
Wyoming,WY,1981,1981-01-01,1.6,DOL_Historical_Table_1,1.60,1
District of Columbia,DC,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60 - 2.25,1
District of Columbia,DC,1979,1979-01-01,2.46,DOL_Historical_Table_1,2.46 - 3.00,1
District of Columbia,DC,1980,1980-01-01,2.5,DOL_Historical_Table_1,2.50 - 3.50,1
District of Columbia,DC,1981,1981-01-01,2.5,DOL_Historical_Table_1,2.50 - 3.75,1
Guam,,1972,1972-01-01,1.9,DOL_Historical_Table_1,1.90,1
Guam,,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
Guam,,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
Guam,,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
Puerto Rico,,1979,1979-01-01,1.2,DOL_Historical_Table_1,1.20 - 2.50,1
Puerto Rico,,1980,1980-01-01,1.2,DOL_Historical_Table_1,1.20 - 2.50,1
Puerto Rico,,1981,1981-01-01,1.2,DOL_Historical_Table_1,1.20 - 3.10,1
U.S. Virgin Islands,,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
U.S. Virgin Islands,,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
U.S. Virgin Islands,,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
Federal,,1988,1988-01-01,3.35,DOL_Historical_Table_2,$3.35,2
Federal,,1991,1991-01-01,3.8,DOL_Historical_Table_2,$3.80,2
Federal,,1992,1992-01-01,4.25,DOL_Historical_Table_2,$4.25,2
Federal,,1994,1994-01-01,4.25,DOL_Historical_Table_2,$4.25,2
Federal,,1996,1996-01-01,4.25,DOL_Historical_Table_2,$4.25,2
Federal,,1997,1997-01-01,4.75,DOL_Historical_Table_2,$4.75,2
Federal,,1998,1998-01-01,5.15,DOL_Historical_Table_2,$5.15,2
Alaska,AK,1988,1988-01-01,3.85,DOL_Historical_Table_2,3.85,2
Alaska,AK,1991,1991-01-01,4.3,DOL_Historical_Table_2,4.30,2
Alaska,AK,1992,1992-01-01,4.75,DOL_Historical_Table_2,4.75,2
Alaska,AK,1994,1994-01-01,4.75,DOL_Historical_Table_2,4.75,2
Alaska,AK,1996,1996-01-01,4.75,DOL_Historical_Table_2,4.75,2
Alaska,AK,1997,1997-01-01,5.25,DOL_Historical_Table_2,5.25,2
Alaska,AK,1998,1998-01-01,5.65,DOL_Historical_Table_2,5.65,2
Arkansas,AR,1988,1988-01-01,3.25,DOL_Historical_Table_2,3.25,2
Arkansas,AR,1991,1991-01-01,3.35,DOL_Historical_Table_2,3.35,2
Arkansas,AR,1992,1992-01-01,3.65,DOL_Historical_Table_2,3.65,2
Arkansas,AR,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Arkansas,AR,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25[c],2
Arkansas,AR,1997,1997-01-01,4.25,DOL_Historical_Table_2,4.25[c],2
Arkansas,AR,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15[c],2
California,CA,1988,1988-01-01,3.35,DOL_Historical_Table_2,3.35,2
California,CA,1991,1991-01-01,4.25,DOL_Historical_Table_2,4.25,2
California,CA,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
California,CA,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
California,CA,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25,2
California,CA,1997,1997-01-01,4.75,DOL_Historical_Table_2,4.75,2
California,CA,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15,2
Colorado,CO,1988,1988-01-01,3.0,DOL_Historical_Table_2,3.00,2
Colorado,CO,1991,1991-01-01,3.0,DOL_Historical_Table_2,3.00,2
Colorado,CO,1992,1992-01-01,3.0,DOL_Historical_Table_2,3.00,2
Colorado,CO,1994,1994-01-01,3.0,DOL_Historical_Table_2,3.00,2
Colorado,CO,1996,1996-01-01,3.0,DOL_Historical_Table_2,3.00,2
Colorado,CO,1997,1997-01-01,4.75,DOL_Historical_Table_2,4.75,2
Colorado,CO,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15,2
Connecticut,CT,1988,1988-01-01,3.75,DOL_Historical_Table_2,3.75,2
Connecticut,CT,1991,1991-01-01,4.25,DOL_Historical_Table_2,4.25,2
Connecticut,CT,1992,1992-01-01,4.27,DOL_Historical_Table_2,4.27,2
Connecticut,CT,1994,1994-01-01,4.27,DOL_Historical_Table_2,4.27,2
Connecticut,CT,1996,1996-01-01,4.27,DOL_Historical_Table_2,4.27,2
Connecticut,CT,1997,1997-01-01,4.77,DOL_Historical_Table_2,4.77,2
Connecticut,CT,1998,1998-01-01,5.18,DOL_Historical_Table_2,5.18,2
Delaware,DE,1988,1988-01-01,3.35,DOL_Historical_Table_2,3.35,2
Delaware,DE,1991,1991-01-01,3.8,DOL_Historical_Table_2,3.80,2
Delaware,DE,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
Delaware,DE,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Delaware,DE,1996,1996-01-01,4.65,DOL_Historical_Table_2,4.65,2
Delaware,DE,1997,1997-01-01,5.0,DOL_Historical_Table_2,5.00,2
Delaware,DE,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15,2
Georgia,GA,1988,1988-01-01,3.25,DOL_Historical_Table_2,3.25,2
Georgia,GA,1991,1991-01-01,3.25,DOL_Historical_Table_2,3.25,2
Georgia,GA,1992,1992-01-01,3.25,DOL_Historical_Table_2,3.25,2
Georgia,GA,1994,1994-01-01,3.25,DOL_Historical_Table_2,3.25,2
Georgia,GA,1996,1996-01-01,3.25,DOL_Historical_Table_2,3.25(d),2
Georgia,GA,1997,1997-01-01,3.25,DOL_Historical_Table_2,3.25(d),2
Georgia,GA,1998,1998-01-01,3.25,DOL_Historical_Table_2,3.25(d),2
Hawaii,HI,1988,1988-01-01,3.85,DOL_Historical_Table_2,3.85,2
Hawaii,HI,1991,1991-01-01,3.85,DOL_Historical_Table_2,3.85,2
Hawaii,HI,1992,1992-01-01,3.85,DOL_Historical_Table_2,3.85,2
Hawaii,HI,1994,1994-01-01,5.25,DOL_Historical_Table_2,5.25,2
Hawaii,HI,1996,1996-01-01,5.25,DOL_Historical_Table_2,5.25,2
Hawaii,HI,1997,1997-01-01,5.25,DOL_Historical_Table_2,5.25,2
Hawaii,HI,1998,1998-01-01,5.25,DOL_Historical_Table_2,5.25,2
Idaho,ID,1988,1988-01-01,2.3,DOL_Historical_Table_2,2.30,2
Idaho,ID,1991,1991-01-01,3.8,DOL_Historical_Table_2,3.80,2
Idaho,ID,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
Idaho,ID,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Idaho,ID,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25,2
Idaho,ID,1997,1997-01-01,4.25,DOL_Historical_Table_2,4.25,2
Idaho,ID,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15,2
Illinois,IL,1988,1988-01-01,3.35,DOL_Historical_Table_2,3.35,2
Illinois,IL,1991,1991-01-01,3.8,DOL_Historical_Table_2,3.80,2
Illinois,IL,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
Illinois,IL,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Illinois,IL,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25[c],2
Illinois,IL,1997,1997-01-01,4.75,DOL_Historical_Table_2,4.75[c],2
Illinois,IL,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15[c],2
Indiana,IN,1988,1988-01-01,2.0,DOL_Historical_Table_2,2.00,2
Indiana,IN,1991,1991-01-01,3.35,DOL_Historical_Table_2,3.35,2
Indiana,IN,1992,1992-01-01,3.35,DOL_Historical_Table_2,3.35,2
Indiana,IN,1994,1994-01-01,3.35,DOL_Historical_Table_2,3.35,2
Indiana,IN,1996,1996-01-01,3.35,DOL_Historical_Table_2,3.35(e),2
Indiana,IN,1997,1997-01-01,3.35,DOL_Historical_Table_2,3.35(e),2
Indiana,IN,1998,1998-01-01,3.35,DOL_Historical_Table_2,3.35(e),2
Iowa,IA,1991,1991-01-01,4.25,DOL_Historical_Table_2,4.25,2
Iowa,IA,1992,1992-01-01,4.65,DOL_Historical_Table_2,4.65,2
Iowa,IA,1994,1994-01-01,4.65,DOL_Historical_Table_2,4.65,2
Iowa,IA,1996,1996-01-01,4.65,DOL_Historical_Table_2,4.65,2
Iowa,IA,1997,1997-01-01,4.75,DOL_Historical_Table_2,4.75,2
Iowa,IA,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15,2
Kansas,KS,1988,1988-01-01,1.6,DOL_Historical_Table_2,1.60,2
Kansas,KS,1991,1991-01-01,2.65,DOL_Historical_Table_2,2.65,2
Kansas,KS,1992,1992-01-01,2.65,DOL_Historical_Table_2,2.65,2
Kansas,KS,1994,1994-01-01,2.65,DOL_Historical_Table_2,2.65,2
Kansas,KS,1996,1996-01-01,2.65,DOL_Historical_Table_2,2.65,2
Kansas,KS,1997,1997-01-01,2.65,DOL_Historical_Table_2,2.65,2
Kansas,KS,1998,1998-01-01,2.65,DOL_Historical_Table_2,2.65,2
Kentucky,KY,1988,1988-01-01,3.35,DOL_Historical_Table_2,3.35,2
Kentucky,KY,1991,1991-01-01,3.8,DOL_Historical_Table_2,3.80,2
Kentucky,KY,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
Kentucky,KY,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Kentucky,KY,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25,2
Kentucky,KY,1997,1997-01-01,4.25,DOL_Historical_Table_2,4.25,2
Kentucky,KY,1998,1998-01-01,4.25,DOL_Historical_Table_2,4.25,2
Maine,ME,1988,1988-01-01,3.65,DOL_Historical_Table_2,3.65,2
Maine,ME,1991,1991-01-01,3.85,DOL_Historical_Table_2,3.85,2
Maine,ME,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
Maine,ME,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Maine,ME,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25,2
Maine,ME,1997,1997-01-01,4.75,DOL_Historical_Table_2,4.75,2
Maine,ME,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15,2
Maryland,MD,1988,1988-01-01,3.35,DOL_Historical_Table_2,3.35,2
Maryland,MD,1991,1991-01-01,3.8,DOL_Historical_Table_2,3.80,2
Maryland,MD,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
Maryland,MD,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Maryland,MD,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25,2
Maryland,MD,1997,1997-01-01,4.75,DOL_Historical_Table_2,4.75,2
Maryland,MD,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15,2
Massachusetts,MA,1988,1988-01-01,3.65,DOL_Historical_Table_2,3.65,2
Massachusetts,MA,1991,1991-01-01,3.75,DOL_Historical_Table_2,3.75,2
Massachusetts,MA,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
Massachusetts,MA,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Massachusetts,MA,1996,1996-01-01,4.75,DOL_Historical_Table_2,4.75,2
Massachusetts,MA,1997,1997-01-01,5.25,DOL_Historical_Table_2,5.25,2
Massachusetts,MA,1998,1998-01-01,5.25,DOL_Historical_Table_2,5.25,2
Michigan,MI,1988,1988-01-01,3.35,DOL_Historical_Table_2,3.35,2
Michigan,MI,1991,1991-01-01,3.35,DOL_Historical_Table_2,3.35,2
Michigan,MI,1992,1992-01-01,3.35,DOL_Historical_Table_2,3.35,2
Michigan,MI,1994,1994-01-01,3.35,DOL_Historical_Table_2,3.35,2
Michigan,MI,1996,1996-01-01,3.35,DOL_Historical_Table_2,3.35(e),2
Michigan,MI,1997,1997-01-01,3.35,DOL_Historical_Table_2,3.35(e),2
Michigan,MI,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15(e),2
Minnesota,MN,1988,1988-01-01,3.55,DOL_Historical_Table_2,3.55 & 3.50(f),2
Minnesota,MN,1991,1991-01-01,4.25,DOL_Historical_Table_2,4.25(g),2
Minnesota,MN,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25(g),2
Minnesota,MN,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25(g),2
Minnesota,MN,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25(g),2
Minnesota,MN,1997,1997-01-01,4.25,DOL_Historical_Table_2,4.25(g),2
Minnesota,MN,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15(g),2
Missouri,MO,1991,1991-01-01,3.8,DOL_Historical_Table_2,3.80,2
Missouri,MO,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25,2
Missouri,MO,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25,2
Missouri,MO,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25,2
Missouri,MO,1997,1997-01-01,4.75,DOL_Historical_Table_2,4.75,2
Missouri,MO,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15,2
Montana,MT,1988,1988-01-01,3.35,DOL_Historical_Table_2,3.35,2
Montana,MT,1991,1991-01-01,3.8,DOL_Historical_Table_2,3.80,2
Montana,MT,1992,1992-01-01,4.25,DOL_Historical_Table_2,4.25(g),2
Montana,MT,1994,1994-01-01,4.25,DOL_Historical_Table_2,4.25(g),2
Montana,MT,1996,1996-01-01,4.25,DOL_Historical_Table_2,4.25(g),2
Montana,MT,1997,1997-01-01,4.75,DOL_Historical_Table_2,4.75(g),2
Montana,MT,1998,1998-01-01,5.15,DOL_Historical_Table_2,5.15(g),2
Nebraska,NE,1988,1988-01-01,3.35,DOL_Historical_Table_2,3.35,2
Nebraska,NE,1991,1991-01-01,3.35,DOL_Historical_Table_2,3.35,2
